cod_modelo_color,des_agrup_color_eng,des_sex,des_age,des_product_category,des_product_type
51053789-08,WHITE,Female,Adult,Tops,Top
57015905-32,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Belt
57097877-49,GREEN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57019207-99,GREY,Female,Adult,Bottoms,Trousers
57017699-02,WHITE,Female,Adult,Tops,T-Shirt
57045943-99,GREY,Female,Adult,Tops,Sweatshirt
57017900-08,WHITE,Female,Adult,Tops,Sweater
67040169-09,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Handbag
57018266-99,GREY,Female,Adult,Tops,Sweater
57000152-52,BLUE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57064388-99,GREY,Female,Adult,Bottoms,Skirt
47048647-02,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
47028650-TN,GREY,Female,Adult,Bottoms,Jeans
57025956-35,BROWN,Female,Adult,Tops,T-Shirt
57040458-20,ORANGE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57082883-68,PURPLE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57040463-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57013812-99,GREY,Female,Adult,Tops,Blouse
57047712-01,WHITE,Female,Adult,Outerwear,Coat
57025993-05,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57086011-99,GREY,Female,Adult,Bottoms,Trousers
57026311-08,WHITE,Unisex,Adult,Home,Plaid
57074430-30,BROWN,Female,Adult,Outerwear,Blazer
57014437-05,WHITE,Female,Adult,Bottoms,Trousers
57075810-88,PINK,Female,Adult,Tops,Blouse
57026025-88,PINK,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57037904-TO,BLUE,Female,Adult,Accesories_Swim_and_Intimate,Shoes
57015815-01,WHITE,Female,Adult,Tops,T-Shirt
57069085-81,PINK,Female,Adult,Tops,Cardigan
53053023-76,RED,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53045008-99,GREY,Female,Adult,Outerwear,Puffer_coat
53080547-TO,BLUE,Female,Adult,Bottoms,Skirt
53060658-01,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53073036-37,BROWN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
51070897-37,BROWN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
53043738-92,GREY,Female,Adult,Accesories_Swim_and_Intimate,Scarf
51063763-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53093765-32,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Handbag
53073765-99,GREY,Female,Adult,Bottoms,Skirt
53079070-32,BROWN,Female,Adult,Outerwear,Puffer_coat
53081123-02,WHITE,Female,Adult,Tops,Blouse
53003795-52,BLUE,Female,Adult,Tops,T-Shirt
57085916-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Belt
53103701-50,BLUE,Female,Adult,Bottoms,Jeans
53015745-80,PINK,Female,Adult,Tops,Sweater
57039210-43,GREEN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
67050574-30,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Boots
47054027-15,YELLOW,Female,Adult,Accesories_Swim_and_Intimate,Kerchief
47095840-02,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Shoulder_bag
57030003-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Hat
47117159-95,GREY,Unisex,Adult,Home,Duvet_Covers
57030008-26,ORANGE,Female,Adult,Accesories_Swim_and_Intimate,Sunglasses
47047834-81,PINK,Female,Adult,Accesories_Swim_and_Intimate,Necklace
57050157-TM,BLUE,Female,Adult,Bottoms,Shorts
57040259-05,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Beach_Towel
57023778-08,WHITE,Female,Adult,Outerwear,Trenchcoat
57000426-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57040326-52,BLUE,Female,Adult,Tops,Top
57040453-05,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57092886-68,PURPLE,Female,Adult,Tops,Blouse
57075787-70,RED,Female,Adult,Accesories_Swim_and_Intimate,Gloves
57001109-99,GREY,Female,Adult,Tops,Bodysuit
57096308-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57003821-02,WHITE,Female,Adult,Bottoms,Jeans
57065972-09,WHITE,Female,Adult,Tops,Sweater
57094426-01,WHITE,Female,Adult,Bottoms,Skirt
57071177-06,WHITE,Female,Adult,Bottoms,Trousers
57074037-98,GREY,Female,Adult,Beauty,Fragance
57056020-30,BROWN,Female,Adult,Outerwear,Jacket
57058272-99,GREY,Female,Adult,Outerwear,Coat
57024438-01,WHITE,Unisex,Adult,Home,Duvet_Covers
57047762-76,RED,Female,Adult,Bottoms,Trousers
53093022-70,RED,Female,Adult,Tops,Blouse
43099073-10,YELLOW,Female,Adult,Bottoms,Shorts
53050655-28,ORANGE,Female,Adult,Accesories_Swim_and_Intimate,Shoes
53073026-02,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
53083714-31,BROWN,Female,Adult,Tops,Top
51060794-74,RED,Female,Adult,Tops,Blouse
53070821-TN,GREY,Female,Adult,Bottoms,Shorts
53050829-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Ring
53055711-50,BLUE,Female,Adult,Tops,Sweater
53083748-43,GREEN,Female,Adult,Tops,Blouse
53083733-06,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53053767-02,WHITE,Female,Adult,Tops,Blouse
51093776-37,BROWN,Female,Adult,Outerwear,Jacket
53055752-99,GREY,Female,Adult,Outerwear,Leather_Jacket
53061103-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53063783-32,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Cosmetic_bag
53045768-56,BLUE,Female,Adult,Bottoms,Trousers
57045923-OR,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57007693-52,BLUE,Female,Adult,Tops,Sweater
57019211-OR,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57059208-85,PINK,Female,Adult,Tops,Top
57018267-56,BLUE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
47034759-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Belt
47067107-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Hat
47025854-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Necklace
57030010-88,PINK,Female,Adult,Accesories_Swim_and_Intimate,Sandals
57000113-46,BLUE,Female,Adult,Accesories_Swim_and_Intimate,Hairband
57050091-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Shoes
57040167-TN,GREY,Female,Adult,Bottoms,Bermudas
57010256-96,GREY,Female,Adult,Tops,T-Shirt
57082878-05,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57034023-56,BLUE,Female,Adult,Accesories_Swim_and_Intimate,Cap
57085975-09,WHITE,Female,Adult,Outerwear,Parka
57074036-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Pyjama_Trousers
57031178-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Crossbody_bag
57005151-CU,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Cosmetic_bag
57016018-81,PINK,Female,Adult,Bottoms,Skirt
57034435-05,WHITE,Female,Adult,Bottoms,Skirt
57076314-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Pyjama_Shirt
57145963-98,GREY,Female,Adult,Beauty,Fragance
57069089-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
57039105-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Bras
57019100-50,BLUE,Female,Adult,Tops,Sweater
57007762-68,PURPLE,Female,Adult,Tops,Sweater
57078279-05,WHITE,Female,Adult,Tops,T-Shirt
53063699-99,GREY,Female,Adult,Outerwear,Trenchcoat
53000673-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Glasses
53003715-02,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
51043731-70,RED,Female,Adult,Outerwear,Coat
53010937-05,WHITE,Female,Adult,Tops,T-Shirt
53023760-02,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Belt
53047671-99,GREY,Female,Adult,Outerwear,Coat
53090968-08,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
53003794-99,GREY,Female,Adult,Tops,T-Shirt
57027690-TM,BLUE,Female,Adult,Bottoms,Jeans
57020041-88,PINK,Female,Adult,Accesories_Swim_and_Intimate,Handbag
47047832-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Shoulder_bag
47037841-52,BLUE,Female,Adult,Accesories_Swim_and_Intimate,Necklace
57050086-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Belt
57020256-05,WHITE,Female,Adult,Tops,Top
57010260-09,WHITE,Female,Adult,Tops,Top
57095134-30,BROWN,Female,Adult,Outerwear,Blazer
57082523-PL,GREY,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57001065-56,BLUE,Female,Adult,Tops,T-Shirt
57004770-70,RED,Female,Adult,Accesories_Swim_and_Intimate,Kerchief
57065970-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoes
57045795-08,WHITE,Female,Adult,Tops,Cardigan
57036715-99,GREY,Female,Adult,Tops,Shirt
57086309-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Ankle_boots
57027718-08,WHITE,Female,Adult,Outerwear,Jacket
57085146-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Trainers
57036017-99,GREY,Female,Adult,Bottoms,Skirt
57057727-30,BROWN,Female,Adult,Outerwear,Blazer
57008278-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoulder_bag
57039114-52,BLUE,Female,Adult,Bottoms,Trousers
57038277-99,GREY,Female,Adult,Bottoms,Trousers
57097739-05,WHITE,Female,Adult,Outerwear,Coat
41085789-92,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
43015821-TC,BLUE,Female,Adult,Bottoms,Jeans
53090528-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Foulard
53010573-TC,BLUE,Female,Adult,Bottoms,Jeans
53080687-14,YELLOW,Female,Adult,Bottoms,Shorts
51023700-69,BLUE,Female,Adult,Outerwear,Trenchcoat
53053029-56,BLUE,Female,Adult,Tops,Shirt
53070830-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Necklace
53090880-02,WHITE,Female,Adult,Tops,Blouse
53003721-83,PINK,Female,Adult,Tops,Sweater
51073735-99,GREY,Female,Adult,Bottoms,Leggings
51023749-45,GREEN,Female,Adult,Bottoms,Trousers
51085724-79,RED,Female,Adult,Tops,T-Shirt
53010992-37,BROWN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53005774-01,WHITE,Female,Adult,Tops,Sweater
53045769-06,WHITE,Female,Adult,Tops,Blouse
53005786-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Handbag
53195802-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Handbag
57025923-09,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Hairclip
57026304-02,WHITE,Female,Adult,Tops,Blouse
57045938-99,GREY,Female,Adult,Tops,T-Shirt
57025943-99,GREY,Female,Adult,Tops,T-Shirt
57007704-20,ORANGE,Female,Adult,Tops,Sweater
47050017-07,WHITE,Female,Adult,Tops,T-Shirt
47052524-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Trainers
57020028-70,RED,Female,Adult,Accesories_Swim_and_Intimate,Kerchief
57050032-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Crossbody_bag
57093721-09,WHITE,Female,Adult,Outerwear,Trenchcoat
57041025-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Case
57020266-05,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57040291-TM,BLUE,Female,Adult,Outerwear,Jacket
57074007-99,GREY,Female,Adult,Bottoms,Skirt
47088644-99,GREY,Female,Adult,Tops,Bodysuit
57044015-05,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57005976-TN,GREY,Female,Adult,Bottoms,Jeans
57065793-05,WHITE,Female,Adult,Tops,Sweater
57025982-99,GREY,Female,Adult,Tops,T-Shirt
57005804-43,GREEN,Female,Adult,Tops,Sweater
57006001-05,WHITE,Female,Adult,Tops,Blouse
57065976-02,WHITE,Female,Adult,Tops,Shirt
57087715-43,GREEN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57026006-PL,GREY,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57033820-02,WHITE,Female,Adult,Tops,Shirt
57079099-91,GREY,Female,Adult,Tops,Sweater
57079101-95,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53040520-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Sandals
53080710-05,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Glasses
43017813-02,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
51013728-30,BROWN,Female,Adult,Bottoms,Trousers
51063734-99,GREY,Female,Adult,Bottoms,Trousers
53090662-32,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Glasses
51083738-94,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53095759-49,GREEN,Female,Adult,Bottoms,Skirt
51005037-20,ORANGE,Female,Adult,Tops,Blouse
53085772-02,WHITE,Female,Adult,Tops,Top
53087021-01,WHITE,Female,Adult,Tops,Blouse
53047022-01,WHITE,Female,Adult,Tops,Shirt
53017026-07,WHITE,Female,Adult,Tops,Sweater
57007691-52,BLUE,Female,Adult,Tops,Sweater
57099203-53,BLUE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57067891-99,GREY,Female,Adult,Tops,Top
57079403-92,GREY,Female,Adult,Accesories_Swim_and_Intimate,Beanie
47022883-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Crossbody_bag
57040028-11,YELLOW,Female,Adult,Accesories_Swim_and_Intimate,Foulard
47087828-04,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Handbag
57042001-85,PINK,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57000254-05,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57092510-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Card_holder
57040251-50,BLUE,Female,Adult,Tops,Shirt
57050336-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57040812-99,GREY,Female,Adult,Bottoms,Trousers
47087851-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57001059-01,WHITE,Female,Adult,Tops,T-Shirt
57002541-PL,GREY,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57023805-35,BROWN,Female,Adult,Bottoms,Trousers
57044410-TO,BLUE,Female,Adult,Bottoms,Skirt
57015965-99,GREY,Female,Adult,Bottoms,Skirt
57086713-92,GREY,Female,Adult,Bottoms,Trousers
57037712-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Boots
57075979-05,WHITE,Female,Adult,Bottoms,Trousers
57005803-05,WHITE,Female,Adult,Tops,Sweater
57033814-76,RED,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57005150-56,BLUE,Female,Adult,Accesories_Swim_and_Intimate,Case
57091175-PL,GREY,Female,Adult,Accesories_Swim_and_Intimate,Necklace
57047720-99,GREY,Female,Adult,Tops,Top
57056012-99,GREY,Female,Adult,Outerwear,Blazer
57064434-05,WHITE,Female,Adult,Bottoms,Bermudas
57034434-52,BLUE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57007748-56,BLUE,Female,Adult,Tops,Sweater
57027739-20,ORANGE,Female,Adult,Accesories_Swim_and_Intimate,Scarf
57016029-01,WHITE,Female,Adult,Bottoms,Trousers
57019117-52,BLUE,Female,Adult,Tops,T-Shirt
57007767-99,GREY,Female,Adult,Tops,Sweater
53073000-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
53090546-17,YELLOW,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53090764-01,WHITE,Female,Adult,Tops,T-Shirt
53033709-03,WHITE,Female,Adult,Outerwear,Puffer_coat
53000886-99,GREY,Female,Adult,Tops,T-Shirt
53020890-01,WHITE,Female,Adult,Tops,T-Shirt
53013715-06,WHITE,Female,Adult,Tops,Sweater
53023045-90,GREY,Female,Adult,Tops,Blouse
51011025-02,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53053763-30,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Bracelet
53091115-99,GREY,Female,Adult,Bottoms,Skirt
51095024-30,BROWN,Female,Adult,Outerwear,Blazer
51001003-99,GREY,Female,Adult,Bottoms,Trousers
53080924-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53023046-37,BROWN,Female,Adult,Tops,Blouse
53023793-99,GREY,Female,Adult,Bottoms,Trousers
53047022-51,BLUE,Female,Adult,Tops,Shirt
57008629-14,YELLOW,Female,Adult,Bottoms,Trousers
53023736-07,WHITE,Female,Adult,Bottoms,Jeans
57004381-99,GREY,Female,Adult,Tops,T-Shirt
57015938-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Handbag
57006308-02,WHITE,Female,Adult,Tops,T-Shirt
57045132-85,PINK,Female,Adult,Tops,Blouse
57057885-94,GREY,Female,Adult,Tops,T-Shirt
57059203-35,BROWN,Female,Adult,Tops,Sweater
57069076-TO,BLUE,Female,Adult,Bottoms,Trousers
57017898-05,WHITE,Female,Adult,Tops,Sweater
47097819-CU,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Handbag
47097109-52,BLUE,Female,Adult,Accesories_Swim_and_Intimate,Pyjama_Shorts
47087833-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Necklace
57040721-52,BLUE,Female,Adult,Tops,Blouse
57064388-16,YELLOW,Female,Adult,Bottoms,Skirt
57084388-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoes
57065786-35,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Scarf
57002888-99,GREY,Female,Adult,Tops,Top
57010456-40,GREEN,Female,Adult,Tops,Top
57054763-65,PURPLE,Female,Adult,Accesories_Swim_and_Intimate,Scarf
57024770-09,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Scarf
57054404-99,GREY,Female,Adult,Tops,Top
57095982-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoes
57025981-99,GREY,Female,Adult,Outerwear,Blazer
57065804-TA,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Card_holder
57047724-99,GREY,Female,Adult,Bottoms,Jeans
57067724-05,WHITE,Female,Adult,Tops,Sweater_Vest
57037745-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Gloves
57016029-99,GREY,Female,Adult,Bottoms,Trousers
57064784-CO,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Sandals
57096027-02,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Pyjama_Shirt
57096728-CU,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Card_holder
57058277-50,BLUE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
67020442-PL,GREY,Female,Adult,Accesories_Swim_and_Intimate,Necklace
43003756-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
41075777-09,WHITE,Female,Adult,Bottoms,Trousers
51003711-01,WHITE,Female,Adult,Outerwear,Blazer
53010844-99,GREY,Female,Adult,Bottoms,Leggings
51053035-08,WHITE,Female,Adult,Bottoms,Skirt
53000897-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
51080907-30,BROWN,Female,Adult,Bottoms,Trousers
53010925-01,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
53013757-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
53063755-TC,BLUE,Female,Adult,Bottoms,Jeans
53095750-92,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
53023785-99,GREY,Female,Adult,Tops,Sweatshirt
57085902-18,YELLOW,Female,Adult,Accesories_Swim_and_Intimate,Kerchief
57005131-02,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57085130-99,GREY,Female,Adult,Outerwear,Blazer
57099204-99,GREY,Female,Adult,Tops,Shirt
67090517-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Handbag
57047892-94,GREY,Female,Adult,Tops,Sweatshirt
47032878-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoulder_bag
47025841-20,ORANGE,Female,Adult,Accesories_Swim_and_Intimate,Kerchief
57040080-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Crossbody_bag
57050100-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Sandals
57050121-56,BLUE,Female,Adult,Bottoms,Trousers
57050163-88,PINK,Female,Adult,Accesories_Swim_and_Intimate,Card_holder
57010735-08,WHITE,Female,Adult,Bottoms,Trousers
57856710-37,BROWN,Female,Adult,Outerwear,Outer vest
57025956-85,PINK,Female,Adult,Tops,T-Shirt
57046712-99,GREY,Female,Adult,Outerwear,Coat
57083800-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57054763-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Scarf
57004043-01,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57042897-99,GREY,Female,Adult,Tops,T-Shirt
57017728-50,BLUE,Female,Adult,Tops,Sweater
57067748-30,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Crossbody_bag
67050279-CO,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Sandals
57059805-02,WHITE,Female,Adult,Outerwear,Jacket
41030739-56,BLUE,Female,Adult,Bottoms,Trousers
53090517-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Handbag
53090539-07,WHITE,Female,Adult,Tops,Sweater
53063699-08,WHITE,Female,Adult,Outerwear,Trenchcoat
53090586-37,BROWN,Female,Adult,Tops,Shirt
53060833-01,WHITE,Female,Adult,Tops,Blouse
53043036-09,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Ankle_boots
53020929-TC,BLUE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
51000943-07,WHITE,Female,Adult,Tops,Blouse
53093751-79,RED,Female,Adult,Accesories_Swim_and_Intimate,Beanie
53081115-99,GREY,Female,Adult,Tops,Top
53045767-OR,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
51085730-17,YELLOW,Female,Adult,Outerwear,Coat
53193794-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Bracelet
57014754-05,WHITE,Female,Adult,Tops,Sweater
57006306-05,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57037656-37,BROWN,Female,Adult,Bottoms,Skirt
57004390-05,WHITE,Female,Adult,Tops,T-Shirt
57025943-05,WHITE,Female,Adult,Tops,T-Shirt
57097889-70,RED,Female,Adult,Tops,Blouse
57025786-79,RED,Female,Adult,Tops,T-Shirt
57007704-99,GREY,Female,Adult,Tops,Sweater
57039039-96,GREY,Female,Adult,Bottoms,Trousers
57040000-28,ORANGE,Female,Adult,Bottoms,Trousers
47050151-05,WHITE,Female,Adult,Bottoms,Trousers
47044027-05,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Foulard
57050113-02,WHITE,Female,Adult,Tops,Shirt
57040261-28,ORANGE,Female,Kids,Dresses_jumpsuits_and_Complete_set,Jumpsuit
57052886-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57082887-07,WHITE,Female,Adult,Bottoms,Skirt
57084396-59,BLUE,Female,Adult,Bottoms,Trousers
57072888-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57001507-30,BROWN,Unisex,Adult,Home,Basket
57023811-99,GREY,Female,Adult,Tops,Sweater
57054410-46,BLUE,Female,Adult,Tops,Blouse
57073270-01,WHITE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
57015976-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Shoes
57064036-08,WHITE,Female,Adult,Home,Pyjiama_Sweater
57055799-05,WHITE,Female,Adult,Tops,Cardigan
57064430-83,PINK,Female,Adult,Tops,Top
57065803-08,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Pyjama
57007749-37,BROWN,Female,Adult,Tops,Sweater
57007750-91,GREY,Female,Adult,Tops,Sweater
57016027-91,GREY,Female,Adult,Outerwear,Vest
57089101-88,PINK,Female,Adult,Tops,Cardigan
53050580-05,WHITE,Female,Adult,Tops,Sweater
53040611-02,WHITE,Female,Adult,Bottoms,Shorts
53010619-82,PINK,Female,Adult,Tops,Top
53063706-37,BROWN,Female,Adult,Bottoms,Shorts
53030804-26,ORANGE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
53053709-70,RED,Female,Adult,Outerwear,Jacket
53080828-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Ring
51023711-99,GREY,Female,Adult,Tops,Shirt
53010944-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Handbag
51023739-43,GREEN,Female,Adult,Tops,T-Shirt
53030907-99,GREY,Female,Adult,Tops,Blouse
51013750-02,WHITE,Female,Adult,Bottoms,Trousers
53085740-01,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Trainers
53081096-32,BROWN,Female,Adult,Accesories_Swim_and_Intimate,Belt
51033727-30,BROWN,Female,Adult,Outerwear,Blazer
51033785-20,ORANGE,Female,Adult,Bottoms,Trousers
53025735-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57005907-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Belt
57024753-09,WHITE,Female,Adult,Tops,Sweatshirt
57005935-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57035920-92,GREY,Female,Adult,Tops,T-Shirt
53003794-43,GREEN,Female,Adult,Tops,T-Shirt
57008630-49,GREEN,Female,Adult,Bottoms,Trousers
57087687-94,GREY,Female,Adult,Tops,Sweatshirt
57018256-94,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
67050534-99,GREY,Female,Adult,Accesories_Swim_and_Intimate,Handbag
47083267-TM,BLUE,Female,Adult,Bottoms,Jeans
47067818-01,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Sunglasses
57050265-05,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Sandals
57050256-99,GREY,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57030255-99,GREY,Female,Adult,Tops,Sweater
57000273-OR,WHITE,Female,Adult,Accesories_Swim_and_Intimate,Earrings
57030329-87,PINK,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57000439-43,GREEN,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57013784-99,GREY,Female,Adult,Tops,Cardigan
57032888-TM,BLUE,Female,Adult,Bottoms,Jeans
57024764-05,WHITE,Female,Adult,Tops,Sweater
57044407-65,PURPLE,Female,Adult,Tops,Cardigan
57066714-46,BLUE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Dress
57083811-99,GREY,Female,Adult,Bottoms,Trousers
57055144-PL,GREY,Female,Adult,Accesories_Swim_and_Intimate,Handbag
57095968-99,GREY,Female,Adult,Bottoms,Skirt
57076714-68,PURPLE,Female,Adult,Dresses_jumpsuits_and_Complete_set,Jumpsuit
